Nome do órgão;Tipo de retorno principal (Se é E-mail, Telefone, Carta ou Site);Telefones;Site;E-mails;Nome do órgão principal (no caso de uma sub-unidade);CEPdoendereço;Logradouro do endereço;Número;Bairro;Cidade;Estado;Complemento;Tipo
 CEJUSC MACEIO;E-MAIL;(82) 98802-3591;https://www.tjal.jus.br/;;;57015-090;Rua Humberto Santa Cruz;355;Vergel do Lago ;Maceió;AL;BASE COMUNITÁRIA DA PM NO VERGEL DO LAGO;CEJUSC
CEJUSC MACEIÓ- COMUNIDADE ESPÍRITA NOSSO LAR;E-MAIL;;https://www.tjal.jus.br/;; CEJUSC MACEIO;57015-582;Avenida Sen. Rui Palmeira;481;Vergel do Lago;Maceió;AL;;CEJUSC
 CEJUSC SÃO PAULO;E-MAIL;(11) 3397-7032 ;http://www.tjsp.jus.br/;cejuscmunicipal@outlook.com;;;Avenida Liberdade;103;Bairro Liberdade;São Paulo;SP;CENTRAL – PREFEITURA DE SÃO PAULO;CEJUSC
 POSTO AVANÇADO DE CONCILIAÇÃO PRÉ-PROCESSUAL – SIMPI;E-MAIL; (11) 3897-8404;http://www.tjsp.jus.br/;cejusc.central@tjsp.jus.br; CEJUSC SÃO PAULO;;Rua DR Fabricio Vampré;70;V. Mariana;São Paulo;SP;;CEJUSC
CEJUSC BUTANTÃ - FORO REGIONAL XV;E-MAIL;(11) 3721-6742 / (11) 3721-2708;http://www.tjsp.jus.br/;cejusc.butanta@tjsp.jus.br; CEJUSC SÃO PAULO;;Avenida Corifeu de Azevedo Marques;148/150; BUTANTÃ;São Paulo;SP;1º andar, sala 104;CEJUSC
CEJUSC CENTRAL - CDHU;E-MAIL;(11) 2505-2650;http://www.tjsp.jus.br/;cdhu.cejusc@apoiocdhu.sp.gov.br; CEJUSC SÃO PAULO;;Rua Boa Vista;170;Centro;São Paulo;SP;2º Sub-Solo ;CEJUSC
CEJUSC CENTRAL- BARRA FUNDA;E-MAIL; (11) 3661-1625;http://www.tjsp.jus.br/;cejusc.central@tjsp.jus.br; CEJUSC SÃO PAULO;;Rua Barra Funda;930;Barra Funda;São Paulo;SP; 2º andar;CEJUSC
CEJUSC ITAQUERA - GUAIANAZES - FORO REGIONAL VII;E-MAIL;(11) 2554-5664;http://www.tjsp.jus.br/;cejusc.itaquera@tjsp.jus.br; CEJUSC SÃO PAULO;;Estrada de Poá;696;Guaianases (Jardim Soares) ;São Paulo;SP;;CEJUSC
CEJUSC JABAQUARA - FORO REGIONAL ;E-MAIL;(11) 3434-0717;http://www.tjsp.jus.br/;cejusc.jabaquara@tjsp.jus.br; CEJUSC SÃO PAULO;;Rua Afonso Celso;1065;Vila Mariana;São Paulo;SP;;CEJUSC
CEJUSC LAPA - FORO REGIONAL IV;E-MAIL; (11) 3834-1573;http://www.tjsp.jus.br/;cejusc.lapa@tjsp.jus.br; CEJUSC SÃO PAULO;;Rua Clemente Álvares;120;Lapa;São Paulo;SP;;CEJUSC
CEJUSC NOSSA SENHORA DO Ó - FORO REGIONAL XII;E-MAIL;(11) 3978-7118;http://www.tjsp.jus.br/;cejusc.nossa_sra_o@tjsp.jus.br; CEJUSC SÃO PAULO;;Rua Tomás Ramos Jordão;101;Freguesia do Ó;São Paulo;SP;sala 64;CEJUSC
CEJUSC PINHEIROS - FORO REGIONAL XI;E-MAIL;(11) 3815-4230 ;http://www.tjsp.jus.br/;cejusc.pinheiros@tjsp.jus.b; CEJUSC SÃO PAULO;;Rua Jericó;S/N;Vila Madalena ;São Paulo;SP;;CEJUSC
CEJUSC SANTANA - FORO REGIONAL I;E-MAIL;(11) 3951-2525 - ramal 279 e 257 ;http://www.tjsp.jus.br/;cejusc.santana@tjsp.jus.br; CEJUSC SÃO PAULO;;Avenida Engenheiro Caetano Alvares;594;Santana;São Paulo;SP;3º andar, sala 360  ;CEJUSC
CEJUSC SANTO AMARO - FORO REGIONAL II;E-MAIL; (11) 5522-8833 - Ramal 221 ;http://www.tjsp.jus.br/;cejusc.santoamaro@tjsp.jus.br; CEJUSC SÃO PAULO;;Avenida Adolfo Pinheiro;1992;Santo Amaro;São Paulo;SP;3º andar;CEJUSC
CEJUSC SÃO MIGUEL PAULISTA - FORO REGIONAL V;E-MAIL;(11) 2052-8098 – ramal 258 ;http://www.tjsp.jus.br/;cejusc.saomiguel@tjsp.jus.br; CEJUSC SÃO PAULO;;Avenida Afonso Lopes de Baião;1736;São Miguel Paulista;São Paulo;SP;1º andar – sala 132;CEJUSC
CEJUSC VILA PRUDENTE - FORO REGIONAL IX;E-MAIL; (11) 2154-1131 ;http://www.tjsp.jus.br/;cejusc.vilaprudente@tjsp.jus.br; CEJUSC SÃO PAULO;;Avenida Sapopemba;3740;Vila Prudente;São Paulo;SP;;CEJUSC
POSTO AVANÇADO DE CONCILIAÇÃO EXTRAPROCESSUAL – ASSOCIAÇÃO COMERCIAL DE SÃO PAULO;E-MAIL;(11) 3180-3377;http://www.tjsp.jus.br/;atendimentopace@acsp.com.br; CEJUSC SÃO PAULO;;Rua da Glória;346;Liberdade;São Paulo;SP;;CEJUSC
UNIDADE AVANÇADA DE ATENDIMENTO JUDICIÁRIO – UNINOVE;E-MAIL;(11) 3274-5580;http://www.tjsp.jus.br/;uaaj@uninove.br; CEJUSC SÃO PAULO;;Rua Vergueiro;831;Liberdade;São Paulo;SP;;CEJUSC
CEJUSC CENTRAL – POSTO CRECI;E-MAIL;(11) 3886-4990;http://www.tjsp.jus.br/;cejusc.central@tjsp.jus.b; CEJUSC SÃO PAULO;;Rua Pamplona;1188;Centro;São Paulo;SP;;CEJUSC
CEJUSC CENTRAL – POSTO FAZENDA PÚBLICA (HELY LOPES);E-MAIL;(11) 3242-2333 Ramal 2271;http://www.tjsp.jus.br/;cejusc.central@tjsp.jus.br; CEJUSC SÃO PAULO;;Viaduto Dona Paulina;80;Centro;São Paulo;SP;2º Andar;CEJUSC
CEJUSC CENTRAL – POSTO JUSTIÇA EXPRESSA;E-MAIL;(11) 2171-4848;http://www.tjsp.jus.br/;cejusc.central@tjsp.jus.b; CEJUSC SÃO PAULO;;Pça João Mendes;S/N;Centro;São Paulo;SP;2º andar, sl. 209 ;CEJUSC
CEJUSC CENTRAL – POSTO SAESP;E-MAIL;(11) 3086-3476;http://www.tjsp.jus.br/;cejusc.central@tjsp.jus.b; CEJUSC SÃO PAULO;;Avenida Nove de Julho;3766;Centro;São Paulo;SP;;CEJUSC
CEJUSC CENTRAL – POSTO SAÚDE SUPLEMENTAR - ABRAMGE;E-MAIL;(11) 2171-6321;http://www.tjsp.jus.br/;cejusc.central@tjsp.jus.br; CEJUSC SÃO PAULO;;Pça João Mendes;S/N;Centro;São Paulo;SP;2º andar, sl. 206;CEJUSC
CEJUSC CENTRAL – POSTO SETOR BANCÁRIO;E-MAIL;(11) 2171-6321;http://www.tjsp.jus.br/;cejusc.central@tjsp.jus.br; CEJUSC SÃO PAULO;;Pça João Mendes;S/N;Centro;São Paulo;SP;2º andar, sl. 206;CEJUSC
CEJUSC DRACENA – POSTO POLÍCIA MILITAR;E-MAIL; (18) 3821-3233;http://www.tjsp.jus.br/;cejusc.dracena@tjsp.jus.br;CEJUSC  DRACENA;;Rua Monte Castelo;886;Centro;Dracena;SP;;CEJUSC
CEJUSC DRACENA – POSTO CEDRAC;E-MAIL;;http://www.tjsp.jus.br/;cejusc.dracena@tjsp.jus.br;CEJUSC  DRACENA;;Avenida José Bonifácio;950;Centro;Dracena;SP;;CEJUSC
CEJUSC FRANCA – POSTO FACULDADE DE DIREITO DE FRANCA;E-MAIL;(16) 3713-4068  ;http://www.tjsp.jus.br/;cejusc.franca@tjsp.jus.br;CEJUSC  FRANCA;;Avenida Major Nicácio;2305;Bairro São José  ;Franca;SP;;CEJUSC
CEJUSC FRANCA – POSTO POLÍCIA MILITAR;E-MAIL;(16) 3724-7911  ;http://www.tjsp.jus.br/;cejusc.franca@tjsp.jus.br;CEJUSC  FRANCA;;Avenida DR Flávio Rocha;4281;Parque dos Pinhais  ;Franca;SP;;CEJUSC
CEJUSC GUARULHOS – POSTO UNG;E-MAIL; (11) 2464-1191  ;http://www.tjsp.jus.br/;cejusc.guarulhos@tjsp.jus.br;CEJUSC  GUARULHOS;;Rua Soldado Claudovino Madalena dos Santos;60;Vila Almeida ;Guarulhos;SP;;CEJUSC
CEJUSC  MOGI DAS CRUZES;E-MAIL;(11) 4798-7233 ;http://www.tjsp.jus.br/; cejusc.mogicruzes@tjsp.jus.br;;;Avenida Candido Xavier de Almeida e Souza;200;;Mogi Das Cruzes;SP;prédio 3, térreo, sala 10 (Universidade de Mogi das Cruzes – UMC)  ;CEJUSC
CEJUSC MONTE MOR - POSTO ELIAS FAUSTO;E-MAIL;(19) 3821-7972 ;http://www.tjsp.jus.br/;cejusc.montemor@tjsp.jus.br;CEJUSC  MONTE MOR;;Rua Iracema Betarelli Juliano;71;Bairro Tornatore Elias Fausto;Monte Mor;SP;;CEJUSC
CEJUSC OSASCO – POSTO AUTONOMISTAS;E-MAIL;(11) 3683-8950 ;http://www.tjsp.jus.br/;cejusc.osasco@tjsp.jus.br;CEJUSC  OSASCO;;Avenida dos Autonomistas;3107;;Osasco;SP;;CEJUSC
CEJUSC PARAGUAÇU PAULISTA – POSTO POLÍCIA MILITAR;E-MAIL; (18) 3361-2198  ;http://www.tjsp.jus.br/;cejusc.paraguacu@tjsp.jus.br;CEJUSC  PARAGUAÇU PAULISTA;;Rua Irmã Gomes;223;Centro;Paraguaçu Paulista;SP;;CEJUSC
